id,city,country,latitude,longitude,temperature,feels_like,temp_min,temp_max,pressure,humidity,weather_main,weather_description,wind_speed,wind_direction,clouds,visibility,sunrise,sunset,recorded_at,created_at
53,Gdańsk,PL,54.3521,18.6464,2.81,2.81,2.73,3.13,1024,92,Rain,light rain,0.51,30,75,10000,2025-12-22 08:05:02,2025-12-22 15:22:53,2025-12-22 21:57:10,2025-12-22 21:57:20.217547
54,Warsaw,PL,52.2298,21.0118,2.17,-1.35,1.47,3.29,1024,77,Clouds,broken clouds,3.6,70,75,10000,2025-12-23 07:43:58,2025-12-23 15:26:00,2025-12-23 09:59:54,2025-12-23 10:01:15.538535
55,Krakow,PL,50.0833,19.9167,0.75,-3.08,0.11,2.19,1020,75,Mist,mist,3.6,50,100,5000,2025-12-23 07:37:38,2025-12-23 15:41:06,2025-12-23 09:59:32,2025-12-23 10:01:16.653732
56,Wrocław,PL,51.1,17.0333,1.28,-3.39,1,1.69,1023,92,Clouds,broken clouds,5.14,60,75,9000,2025-12-23 07:54:05,2025-12-23 15:47:43,2025-12-23 09:58:10,2025-12-23 10:01:18.198538
57,Gdańsk,PL,54.3521,18.6464,3.66,0.83,2.57,3.86,1027,95,Clouds,broken clouds,3.09,60,75,10000,2025-12-23 08:05:28,2025-12-23 15:23:26,2025-12-23 09:59:09,2025-12-23 10:01:19.568681
58,Warsaw,PL,52.2298,21.0118,3,-0.67,2.1,3.85,1025,81,Clouds,broken clouds,4.12,50,75,10000,2025-12-23 07:43:58,2025-12-23 15:26:00,2025-12-23 14:57:13,2025-12-23 15:00:01.968237
59,Krakow,PL,50.0833,19.9167,0.26,-4.67,-0.01,1.64,1021,74,Drizzle,light intensity drizzle,5.14,50,100,2800,2025-12-23 07:37:38,2025-12-23 15:41:06,2025-12-23 14:55:36,2025-12-23 15:00:03.067911
60,Wrocław,PL,51.1,17.0333,2.18,-1.32,1.57,2.45,1024,81,Clouds,overcast clouds,3.58,85,100,10000,2025-12-23 07:54:05,2025-12-23 15:47:43,2025-12-23 14:55:18,2025-12-23 15:00:04.171763
61,Gdańsk,PL,54.3521,18.6464,2.18,-1.34,1.84,3.01,1029,86,Clouds,scattered clouds,3.6,70,40,10000,2025-12-23 08:05:28,2025-12-23 15:23:26,2025-12-23 14:57:34,2025-12-23 15:00:05.259022
62,Warsaw,PL,52.2298,21.0118,-4.62,-10.39,-5.81,-4.01,1036,63,Clear,clear sky,4.56,75,0,10000,2025-12-24 07:44:20,2025-12-24 15:26:35,2025-12-24 10:57:34,2025-12-24 11:00:08.412585
63,Krakow,PL,50.0833,19.9167,-1.41,-7.82,-1.68,-0.34,1031,60,Clouds,overcast clouds,7.2,60,100,10000,2025-12-24 07:38:00,2025-12-24 15:41:41,2025-12-24 10:59:14,2025-12-24 11:00:09.532397
64,Wrocław,PL,51.1,17.0333,-1.49,-6.55,-2.32,-0.55,1032,75,Clouds,overcast clouds,4.63,60,100,10000,2025-12-24 07:54:27,2025-12-24 15:48:19,2025-12-24 10:58:50,2025-12-24 11:00:10.634555
65,Gdańsk,PL,54.3521,18.6464,-2.54,-8.76,-3.16,-1.31,1039,67,Clouds,scattered clouds,6.17,120,40,10000,2025-12-24 08:05:49,2025-12-24 15:24:02,2025-12-24 10:56:01,2025-12-24 11:00:11.712025
